ts_s,frame,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.044856,0,0.000000,0.000000,0.000000,-0.248425,-0.272444,0.123524
0.070379,1,0.124752,-1.073015,0.206985,-0.124490,-0.214024,0.104317
0.089618,2,-0.381889,0.345346,0.236927,-0.136608,-0.223034,0.068317
0.112175,3,-0.411969,0.143072,0.175725,-0.155157,-0.239784,-0.002376
0.134448,4,0.058838,-0.196822,-0.055827,-0.157930,-0.233932,-0.037285
0.156688,5,-0.062053,-0.399597,0.004265,-0.122458,-0.211075,-0.003405
0.178902,6,-0.141764,-0.700356,-0.031009,-0.075661,-0.187095,0.063406
0.201668,7,0.077528,0.079147,-0.017172,-0.029310,-0.166035,0.083901
0.223770,8,0.210840,0.450703,0.056497,-0.016364,-0.135194,0.076669
0.245946,9,0.124548,0.492927,0.119883,-0.033635,-0.113727,0.088653
0.268105,10,-0.163490,-0.046997,0.058332,-0.058053,-0.107336,0.091178
0.289999,11,-0.030059,-0.439697,0.119148,-0.057086,-0.120120,0.070835
0.312027,12,-0.035857,-0.241732,0.008616,-0.040696,-0.139295,0.076467
0.334358,13,-0.139370,-0.283231,0.144276,-0.017965,-0.155963,0.074070
0.356468,14,-0.067159,-0.051826,0.066870,0.000661,-0.178745,0.061542
0.378529,15,-0.034657,0.373925,0.097344,0.011481,-0.195900,0.066902
0.400841,16,0.144611,0.009239,0.056321,0.013878,-0.207040,0.081925
0.422980,17,0.200792,-0.252299,-0.012207,0.011859,-0.208684,0.074711
0.445216,18,0.395301,-0.066820,0.011851,0.011871,-0.191363,0.044773
0.467388,19,0.314504,0.147465,-0.015732,0.012999,-0.161369,0.014592
0.489460,20,0.244761,0.143062,0.091457,0.011096,-0.123187,-0.002898
0.511660,21,0.191967,0.078386,0.034671,0.007467,-0.089065,-0.023359
0.534302,22,0.376281,-0.039342,0.020833,0.000045,-0.054733,-0.040549
0.556263,23,0.331922,0.138995,0.060406,-0.010109,-0.015696,-0.066209
0.578462,24,0.267559,0.169318,0.014447,-0.020843,0.028802,-0.079247
0.601405,25,0.165439,-0.087124,-0.027739,-0.026430,0.067261,-0.095423
0.622579,26,0.257459,-0.140471,-0.067117,-0.016078,0.094790,-0.104467
0.644952,27,0.312422,-0.329051,-0.065670,0.003508,0.117571,-0.102992
0.667441,28,0.087310,0.062020,0.004688,0.017878,0.138466,-0.107387
0.689680,29,0.143161,0.424991,0.092444,0.007469,0.153623,-0.112295
0.712156,30,0.180135,0.015837,-0.049477,-0.016754,0.173653,-0.123848
0.734752,31,0.159961,-0.347683,-0.076206,-0.013281,0.193482,-0.140158
0.756245,32,0.054271,-0.104018,0.002683,0.011087,0.210769,-0.143245
0.778530,33,-0.071514,0.205018,0.076738,0.021706,0.224207,-0.131284
0.802487,34,-0.006050,-0.138843,0.040666,0.021763,0.233307,-0.119511
0.822982,35,-0.038147,-0.189664,-0.000658,0.033481,0.236746,-0.116617
0.845224,36,0.002970,0.098418,0.053009,0.043201,0.238709,-0.109949
0.867808,37,-0.061983,-0.148591,0.060378,0.046641,0.231418,-0.102494
0.889594,38,-0.085100,-0.099397,0.025661,0.048116,0.230596,-0.101841
