ts_s,frame,snapshot,filename,verts,tris
0.990483,25,0,mesh_0000.ply,4237,3570
1.998297,46,1,mesh_0001.ply,4237,3570
1.998297,46,2,mesh_0002.ply,4224,3554
2.998828,70,3,mesh_0003.ply,4224,3554
2.998828,70,4,mesh_0004.ply,4226,3548
4.010529,94,5,mesh_0005.ply,4226,3548
4.010529,94,6,mesh_0006.ply,4219,3533
4.989572,118,7,mesh_0007.ply,4219,3533
4.989572,118,8,mesh_0008.ply,4243,3560
5.989924,143,9,mesh_0009.ply,4243,3560
5.989924,143,10,mesh_0010.ply,4269,3580
7.012563,168,11,mesh_0011.ply,4269,3580
7.012563,168,12,mesh_0012.ply,4335,3639
7.991599,192,13,mesh_0013.ply,4335,3639
7.991599,192,14,mesh_0014.ply,4293,3595
8.992596,215,15,mesh_0015.ply,4293,3595
8.992596,215,16,mesh_0016.ply,4345,3643
10.026203,240,17,mesh_0017.ply,4345,3643
10.026203,240,18,mesh_0018.ply,4295,3601
11.014789,265,19,mesh_0019.ply,4295,3601
11.014789,265,20,mesh_0020.ply,4284,3590
12.004674,290,21,mesh_0021.ply,4284,3590
12.004674,290,22,mesh_0022.ply,4332,3634
13.038662,315,23,mesh_0023.ply,4332,3634
13.038662,315,24,mesh_0024.ply,4361,3669
14.005698,339,25,mesh_0025.ply,4361,3669
14.005698,339,26,mesh_0026.ply,4380,3686
15.028100,363,27,mesh_0027.ply,4380,3686
15.028100,363,28,mesh_0028.ply,4427,3725
16.016629,387,29,mesh_0029.ply,4427,3725
16.016629,387,30,mesh_0030.ply,4483,3787
17.049762,411,31,mesh_0031.ply,4483,3787
17.049762,411,32,mesh_0032.ply,4458,3770
18.016975,435,33,mesh_0033.ply,4458,3770
18.016975,435,34,mesh_0034.ply,4528,3820
19.028952,460,35,mesh_0035.ply,4528,3820
19.028952,460,36,mesh_0036.ply,4508,3811
20.061550,484,37,mesh_0037.ply,4508,3811
20.061550,484,38,mesh_0038.ply,4481,3784
21.061550,508,39,mesh_0039.ply,4481,3784
21.061550,508,40,mesh_0040.ply,4530,3819
22.040271,532,41,mesh_0041.ply,4530,3819
22.040271,532,42,mesh_0042.ply,4406,3719
23.061881,556,43,mesh_0043.ply,4406,3719
23.061881,556,44,mesh_0044.ply,4392,3714
24.051070,580,45,mesh_0045.ply,4392,3714
24.051070,580,46,mesh_0046.ply,4466,3776
25.073391,604,47,mesh_0047.ply,4466,3776
25.073391,604,48,mesh_0048.ply,4468,3796
26.073162,629,49,mesh_0049.ply,4468,3796
26.073162,629,50,mesh_0050.ply,4440,3769
27.084289,654,51,mesh_0051.ply,4440,3769
27.084289,654,52,mesh_0052.ply,4692,4021
28.073710,678,53,mesh_0053.ply,4692,4021
28.073710,678,54,mesh_0054.ply,4852,4165
29.095796,703,55,mesh_0055.ply,4852,4165
29.095796,703,56,mesh_0056.ply,4629,3976
30.095784,727,57,mesh_0057.ply,4629,3976
30.095784,727,58,mesh_0058.ply,4867,4207
31.095839,751,59,mesh_0059.ply,4867,4207
31.095839,751,60,mesh_0060.ply,4864,4182
32.118062,776,61,mesh_0061.ply,4864,4182
32.118062,776,62,mesh_0062.ply,4750,4069
33.095947,800,63,mesh_0063.ply,4750,4069
33.095947,800,64,mesh_0064.ply,4834,4165
34.129019,824,65,mesh_0065.ply,4834,4165
34.129019,824,66,mesh_0066.ply,4830,4154
35.140667,849,67,mesh_0067.ply,4830,4154
35.140667,849,68,mesh_0068.ply,4820,4170
36.141154,874,69,mesh_0069.ply,4820,4170
36.141154,874,70,mesh_0070.ply,4799,4135
37.140839,899,71,mesh_0071.ply,4799,4135
37.140839,899,72,mesh_0072.ply,4828,4176
38.140635,924,73,mesh_0073.ply,4828,4176
38.140635,924,74,mesh_0074.ply,4705,4033
39.162566,949,75,mesh_0075.ply,4705,4033
39.162566,949,76,mesh_0076.ply,4785,4119
40.173778,974,77,mesh_0077.ply,4785,4119
40.173778,974,78,mesh_0078.ply,4616,3938
41.184781,999,79,mesh_0079.ply,4616,3938
41.184781,999,80,mesh_0080.ply,4616,3948
42.185392,1023,81,mesh_0081.ply,4616,3948
42.185392,1023,82,mesh_0082.ply,4625,3946
43.185521,1047,83,mesh_0083.ply,4625,3946
43.185521,1047,84,mesh_0084.ply,4595,3932
44.207241,1072,85,mesh_0085.ply,4595,3932
44.207241,1072,86,mesh_0086.ply,4568,3902
45.174333,1095,87,mesh_0087.ply,4568,3902
45.174333,1095,88,mesh_0088.ply,4585,3933
46.174199,1119,89,mesh_0089.ply,4585,3933
46.174199,1119,90,mesh_0090.ply,4672,4015
47.185529,1143,91,mesh_0091.ply,4672,4015
47.185529,1143,92,mesh_0092.ply,4673,4010
48.218280,1168,93,mesh_0093.ply,4673,4010
48.218280,1168,94,mesh_0094.ply,4761,4073
49.217915,1193,95,mesh_0095.ply,4761,4073
49.217915,1193,96,mesh_0096.ply,4783,4103
50.207998,1218,97,mesh_0097.ply,4783,4103
50.207998,1218,98,mesh_0098.ply,5047,4368
51.208118,1242,99,mesh_0099.ply,5047,4368
51.208118,1242,100,mesh_0100.ply,4902,4199
52.229703,1266,101,mesh_0101.ply,4902,4199
52.229703,1266,102,mesh_0102.ply,4870,4181
53.229858,1290,103,mesh_0103.ply,4870,4181
53.229858,1290,104,mesh_0104.ply,4914,4210
