ts_s,frame,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,tracking_state
0.048722,0,-0.024288,-0.005761,0.015282,0.028680,0.167838,-0.023087,0.985127,15
0.092407,1,-0.024402,-0.005635,0.015427,0.028624,0.167658,-0.022418,0.985175,15
0.135656,2,-0.024574,-0.005798,0.015619,0.028963,0.166974,-0.021752,0.985296,15
0.179282,3,-0.024848,-0.005954,0.015869,0.030537,0.165581,-0.021449,0.985490,15
0.213520,4,-0.025099,-0.006139,0.016018,0.031559,0.163867,-0.021330,0.985747,15
0.248945,5,-0.025337,-0.006305,0.016106,0.032949,0.162136,-0.021583,0.985982,15
0.289546,6,-0.025426,-0.006274,0.016049,0.034045,0.160639,-0.021457,0.986193,15
0.334698,7,-0.025515,-0.006251,0.016028,0.033964,0.161043,-0.021916,0.986119,15
0.369088,8,-0.025553,-0.006176,0.016000,0.034148,0.161802,-0.021528,0.985997,15
0.412238,9,-0.025555,-0.006126,0.015929,0.033908,0.162429,-0.020547,0.985924,15
0.456447,10,-0.025619,-0.005999,0.015994,0.033845,0.163087,-0.020251,0.985823,15
0.500759,11,-0.025927,-0.006075,0.016116,0.033308,0.162945,-0.020782,0.985854,15
0.535227,12,-0.026317,-0.006092,0.016261,0.033545,0.162250,-0.021140,0.985953,15
0.578842,13,-0.026987,-0.006030,0.016473,0.033867,0.160875,-0.021026,0.986170,15
0.613217,14,-0.027534,-0.006098,0.016582,0.034294,0.159123,-0.020177,0.986457,15
0.656715,15,-0.028273,-0.006235,0.016539,0.035139,0.156713,-0.019985,0.986817,15
0.690050,16,-0.028776,-0.006208,0.016405,0.035640,0.155165,-0.019265,0.987057,15
0.725945,17,-0.029246,-0.006126,0.016154,0.035709,0.153627,-0.018585,0.987309,15
0.767723,18,-0.029863,-0.005852,0.015805,0.034546,0.152242,-0.018195,0.987572,15
0.801487,19,-0.030346,-0.005532,0.015629,0.032878,0.151499,-0.017763,0.987751,15
0.835420,20,-0.030812,-0.005141,0.015493,0.031132,0.150585,-0.017047,0.987960,15
0.880015,21,-0.031415,-0.005017,0.015279,0.029276,0.149276,-0.016413,0.988226,15
0.913496,22,-0.031818,-0.004901,0.014994,0.029392,0.148408,-0.015940,0.988361,15
0.956858,23,-0.032171,-0.005158,0.014534,0.030299,0.147864,-0.014915,0.988431,15
0.990483,24,-0.032363,-0.005369,0.014040,0.031437,0.148431,-0.015182,0.988306,15
1.051492,25,-0.032467,-0.005492,0.013675,0.032248,0.149223,-0.015570,0.988155,15
1.090185,26,-0.032937,-0.005414,0.012300,0.033616,0.151733,-0.017321,0.987698,15
1.124689,27,-0.033219,-0.005203,0.011769,0.033223,0.152389,-0.017957,0.987599,15
1.168263,28,-0.033646,-0.004925,0.011097,0.032343,0.152998,-0.018699,0.987520,15
1.213942,29,-0.034182,-0.004600,0.010668,0.030812,0.153257,-0.019212,0.987519,15
1.256824,30,-0.034781,-0.004438,0.010429,0.029478,0.153058,-0.019029,0.987594,15
1.290306,31,-0.035224,-0.004322,0.010397,0.028679,0.152632,-0.018691,0.987690,15
1.324974,32,-0.035595,-0.004244,0.010399,0.028238,0.152165,-0.018412,0.987780,15
1.368078,33,-0.035938,-0.004233,0.010479,0.028180,0.151659,-0.017986,0.987867,15
1.401570,34,-0.036053,-0.004318,0.010608,0.028397,0.151470,-0.017622,0.987897,15
1.435455,35,-0.036056,-0.004463,0.010719,0.028804,0.151531,-0.017573,0.987877,15
1.479817,36,-0.035871,-0.004762,0.010830,0.030150,0.151922,-0.017666,0.987775,15
1.683791,37,-0.035664,-0.004796,0.011066,0.030915,0.152294,-0.017729,0.987693,15
1.748218,38,-0.033701,-0.005129,0.011702,0.032581,0.153193,-0.019383,0.987469,15
1.791779,39,-0.033113,-0.005318,0.011550,0.032729,0.153583,-0.019805,0.987395,15
1.826610,40,-0.032820,-0.005374,0.011389,0.032950,0.153701,-0.020371,0.987358,15
1.861646,41,-0.032554,-0.005366,0.011220,0.033163,0.153802,-0.020965,0.987323,15
1.896236,42,-0.032304,-0.005257,0.011111,0.033164,0.153835,-0.021364,0.987309,15
1.930391,43,-0.032131,-0.005266,0.010956,0.033010,0.153942,-0.021595,0.987292,15
1.964532,44,-0.032000,-0.005323,0.010759,0.033183,0.153771,-0.022120,0.987301,15
1.998297,45,-0.031928,-0.005223,0.010537,0.033871,0.153724,-0.022701,0.987272,15
2.077360,46,-0.031908,-0.005278,0.010379,0.034293,0.153898,-0.022804,0.987228,15
2.116354,47,-0.032141,-0.004976,0.009735,0.034603,0.153620,-0.022932,0.987258,15
2.160095,48,-0.032368,-0.004658,0.009501,0.034407,0.152609,-0.022551,0.987430,15
2.193472,49,-0.032537,-0.004482,0.009366,0.033667,0.151756,-0.022318,0.987592,15
2.238182,50,-0.032694,-0.004420,0.009162,0.032785,0.150663,-0.021782,0.987801,15
2.282306,51,-0.032761,-0.004209,0.009085,0.032634,0.149723,-0.021443,0.987957,15
2.315837,52,-0.032759,-0.004181,0.009010,0.032562,0.149184,-0.021109,0.988048,15
2.359928,53,-0.032651,-0.004314,0.008895,0.033292,0.148531,-0.021027,0.988124,15
2.404862,54,-0.032432,-0.004373,0.008831,0.034418,0.148111,-0.021510,0.988138,15
2.438213,55,-0.032206,-0.004592,0.008816,0.035541,0.148015,-0.021833,0.988105,15
2.482124,56,-0.031871,-0.004895,0.008738,0.037728,0.148230,-0.022688,0.987973,15
2.515687,57,-0.031535,-0.005288,0.008641,0.039492,0.148745,-0.023367,0.987810,15
2.560030,58,-0.030568,-0.005850,0.008280,0.043340,0.150673,-0.024687,0.987325,15
2.605502,59,-0.028696,-0.006807,0.007781,0.047790,0.158075,-0.026922,0.985902,15
2.648963,60,-0.026669,-0.007903,0.007572,0.052885,0.169297,-0.030856,0.983661,15
2.682435,61,-0.024955,-0.008604,0.007491,0.056139,0.178620,-0.033201,0.981754,15
2.726927,62,-0.022659,-0.009858,0.007317,0.060547,0.190667,-0.036318,0.979112,15
2.760303,63,-0.020716,-0.010538,0.007036,0.063332,0.200094,-0.038882,0.976954,15
2.804891,64,-0.018326,-0.011670,0.006987,0.067087,0.212502,-0.041029,0.973991,15
2.838735,65,-0.016721,-0.012422,0.007132,0.070272,0.220236,-0.042740,0.971973,15
2.887288,66,-0.014612,-0.013343,0.007557,0.073266,0.228328,-0.044808,0.969789,15
2.920741,67,-0.013365,-0.014206,0.007934,0.076131,0.232473,-0.046754,0.968491,15
2.954348,68,-0.012211,-0.014857,0.008430,0.078786,0.235466,-0.048440,0.967472,15
2.998828,69,-0.011056,-0.016073,0.009157,0.083167,0.237799,-0.050376,0.966435,15
3.085864,70,-0.010551,-0.016654,0.009543,0.085451,0.238411,-0.051284,0.966038,15
3.121526,71,-0.008985,-0.018583,0.010953,0.093081,0.238672,-0.053363,0.965155,15
3.165788,72,-0.008553,-0.018795,0.011329,0.094571,0.238247,-0.052507,0.965162,15
3.199742,73,-0.008501,-0.018868,0.011441,0.094071,0.237302,-0.051400,0.965503,15
3.243535,74,-0.008881,-0.018847,0.011431,0.094036,0.233569,-0.049328,0.966524,15
