ts_s,frame,hand,joint_id,joint_name,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,radius
0.034374,0,left,1,Wrist,-0.625429,-0.575232,0.223335,-0.002592,-0.390184,-0.435128,0.811427,0.0200
0.034374,0,left,0,Palm,-0.647512,-0.563200,0.247678,-0.002592,-0.390184,-0.435128,0.811427,0.0240
0.034374,0,left,2,ThumbMeta,-0.665822,-0.542176,0.223536,-0.002592,-0.390184,-0.435128,0.811427,0.0160
0.034374,0,left,3,ThumbProx,-0.677725,-0.532706,0.231127,-0.002592,-0.390184,-0.435128,0.811427,0.0140
0.034374,0,left,4,ThumbDist,-0.688228,-0.524350,0.237825,-0.002592,-0.390184,-0.435128,0.811427,0.0120
0.034374,0,left,5,ThumbTip,-0.697331,-0.517108,0.243630,-0.002592,-0.390184,-0.435128,0.811427,0.0100
0.034374,0,left,6,IndexMeta,-0.663665,-0.545259,0.248548,-0.002592,-0.390184,-0.435128,0.811427,0.0160
0.034374,0,left,7,IndexProx,-0.675343,-0.538323,0.260359,-0.002592,-0.390184,-0.435128,0.811427,0.0140
0.034374,0,left,8,IndexInter,-0.685724,-0.532158,0.270858,-0.002592,-0.390184,-0.435128,0.811427,0.0120
0.034374,0,left,9,IndexDist,-0.694807,-0.526764,0.280045,-0.002592,-0.390184,-0.435128,0.811427,0.0100
0.034374,0,left,10,IndexTip,-0.702593,-0.522140,0.287919,-0.002592,-0.390184,-0.435128,0.811427,0.0080
0.034374,0,left,11,MiddleMeta,-0.661393,-0.555637,0.262979,-0.002592,-0.390184,-0.435128,0.811427,0.0160
0.034374,0,left,12,MiddleProx,-0.673381,-0.549106,0.276193,-0.002592,-0.390184,-0.435128,0.811427,0.0140
0.034374,0,left,13,MiddleInter,-0.684107,-0.543262,0.288017,-0.002592,-0.390184,-0.435128,0.811427,0.0120
0.034374,0,left,14,MiddleDist,-0.693572,-0.538105,0.298449,-0.002592,-0.390184,-0.435128,0.811427,0.0100
0.034374,0,left,15,MiddleTip,-0.701774,-0.533636,0.307491,-0.002592,-0.390184,-0.435128,0.811427,0.0080
0.034374,0,left,16,RingMeta,-0.653768,-0.568322,0.270377,-0.002592,-0.390184,-0.435128,0.811427,0.0160
0.034374,0,left,17,RingProx,-0.664826,-0.562775,0.283452,-0.002592,-0.390184,-0.435128,0.811427,0.0140
0.034374,0,left,18,RingInter,-0.674656,-0.557844,0.295074,-0.002592,-0.390184,-0.435128,0.811427,0.0120
0.034374,0,left,19,RingDist,-0.683256,-0.553529,0.305243,-0.002592,-0.390184,-0.435128,0.811427,0.0100
0.034374,0,left,20,RingTip,-0.690629,-0.549831,0.313959,-0.002592,-0.390184,-0.435128,0.811427,0.0080
0.034374,0,left,21,LittleMeta,-0.645484,-0.582461,0.276097,-0.002592,-0.390184,-0.435128,0.811427,0.0160
0.034374,0,left,22,LittleProx,-0.655492,-0.578084,0.289123,-0.002592,-0.390184,-0.435128,0.811427,0.0140
0.034374,0,left,23,LittleInter,-0.664323,-0.574223,0.300617,-0.002592,-0.390184,-0.435128,0.811427,0.0120
0.034374,0,left,24,LittleDist,-0.671976,-0.570877,0.310579,-0.002592,-0.390184,-0.435128,0.811427,0.0100
0.034374,0,left,25,LittleTip,-0.678452,-0.568045,0.319008,-0.002592,-0.390184,-0.435128,0.811427,0.0080
0.034374,0,right,1,Wrist,0.378847,-0.392905,0.403099,-0.130851,0.133662,0.376158,0.907479,0.0200
0.034374,0,right,0,Palm,0.383892,-0.381073,0.435650,-0.130851,0.133662,0.376158,0.907479,0.0240
0.034374,0,right,2,ThumbMeta,0.365431,-0.409146,0.450854,-0.130851,0.133662,0.376158,0.907479,0.0160
0.034374,0,right,3,ThumbProx,0.363918,-0.407360,0.467692,-0.130851,0.133662,0.376158,0.907479,0.0140
0.034374,0,right,4,ThumbDist,0.362583,-0.405783,0.482549,-0.130851,0.133662,0.376158,0.907479,0.0120
0.034374,0,right,5,ThumbTip,0.361425,-0.404417,0.495426,-0.130851,0.133662,0.376158,0.907479,0.0100
0.034374,0,right,6,IndexMeta,0.374621,-0.386478,0.457292,-0.130851,0.133662,0.376158,0.907479,0.0160
0.034374,0,right,7,IndexProx,0.376476,-0.381102,0.474370,-0.130851,0.133662,0.376158,0.907479,0.0140
0.034374,0,right,8,IndexInter,0.378126,-0.376324,0.489550,-0.130851,0.133662,0.376158,0.907479,0.0120
0.034374,0,right,9,IndexDist,0.379569,-0.372143,0.502833,-0.130851,0.133662,0.376158,0.907479,0.0100
0.034374,0,right,10,IndexTip,0.380806,-0.368559,0.514219,-0.130851,0.133662,0.376158,0.907479,0.0080
0.034374,0,right,11,MiddleMeta,0.387063,-0.373636,0.456110,-0.130851,0.133662,0.376158,0.907479,0.0160
0.034374,0,right,12,MiddleProx,0.389802,-0.367213,0.473781,-0.130851,0.133662,0.376158,0.907479,0.0140
0.034374,0,right,13,MiddleInter,0.392252,-0.361466,0.489591,-0.130851,0.133662,0.376158,0.907479,0.0120
0.034374,0,right,14,MiddleDist,0.394415,-0.356396,0.503542,-0.130851,0.133662,0.376158,0.907479,0.0100
0.034374,0,right,15,MiddleTip,0.396289,-0.352001,0.515632,-0.130851,0.133662,0.376158,0.907479,0.0080
0.034374,0,right,16,RingMeta,0.397416,-0.364602,0.446893,-0.130851,0.133662,0.376158,0.907479,0.0160
0.034374,0,right,17,RingProx,0.400620,-0.357942,0.463306,-0.130851,0.133662,0.376158,0.907479,0.0140
0.034374,0,right,18,RingInter,0.403468,-0.352023,0.477895,-0.130851,0.133662,0.376158,0.907479,0.0120
0.034374,0,right,19,RingDist,0.405960,-0.346843,0.490661,-0.130851,0.133662,0.376158,0.907479,0.0100
0.034374,0,right,20,RingTip,0.408096,-0.342404,0.501603,-0.130851,0.133662,0.376158,0.907479,0.0080
0.034374,0,right,21,LittleMeta,0.408300,-0.356847,0.435818,-0.130851,0.133662,0.376158,0.907479,0.0160
